Real_1,Pred_1,Real_2,Pred_2,Real_3,Pred_3,Real_4,Pred_4,Real_5,Pred_5,Real_6,Pred_6,Real_7,Pred_7,Real_8,Pred_8,Real_9,Pred_9,Real_10,Pred_10,Real_11,Pred_11,Real_12,Pred_12
119093.24843494687,114888.74,119044.5049606742,113844.28,118571.64691305421,113244.766,118040.31482311334,112578.63,117731.59658011796,112811.22,117421.54712428327,112764.06,118297.59077540097,113048.87,118813.7430411176,112967.48,118626.88604747498,113073.64,118306.15441974839,113178.016,118706.26528613694,113574.06,118485.74874655154,113333.336
119044.5049606742,114935.05,118571.64691305421,113885.07,118040.31482311334,113259.22,117731.59658011796,112605.53,117421.54712428327,112816.234,118297.59077540097,112773.69,118813.7430411176,113065.695,118626.88604747498,112980.92,118306.15441974839,113089.9,118706.26528613694,113201.97,118485.74874655154,113613.17,118430.68295554034,113364.766
118571.64691305421,114971.664,118040.31482311334,113922.555,117731.59658011796,113287.44,117421.54712428327,112635.18,118297.59077540097,112843.24,118813.7430411176,112813.47,118626.88604747498,113101.336,118306.15441974839,113018.14,118706.26528613694,113122.9,118485.74874655154,113242.41,118430.68295554034,113663.7,118859.57755909972,113406.65
118040.31482311334,114971.06,117731.59658011796,113936.195,117421.54712428327,113303.695,118297.59077540097,112675.46,118813.7430411176,112877.5,118626.88604747498,112845.59,118306.15441974839,113148.945,118706.26528613694,113069.79,118485.74874655154,113163.19,118430.68295554034,113287.28,118859.57755909972,113720.11,119161.39740423892,113471.1
117731.59658011796,114850.84,117421.54712428327,113849.76,118297.59077540097,113238.37,118813.7430411176,112651.164,118626.88604747498,112850.34,118306.15441974839,112795.516,118706.26528613694,113124.08,118485.74874655154,113059.68,118430.68295554034,113127.8,118859.57755909972,113255.71,119161.39740423892,113698.99,118633.228027836,113472.12
117421.54712428327,114639.85,118297.59077540097,113673.555,118813.7430411176,113099.07,118626.88604747498,112541.52,118306.15441974839,112750.164,118706.26528613694,112668.29,118485.74874655154,112990.516,118430.68295554034,112951.945,118859.57755909972,112978.47,119161.39740423892,113114.94,118633.228027836,113553.82,119212.30770583588,113340.36
118297.59077540097,114472.805,118813.7430411176,113535.55,118626.88604747498,112952.05,118306.15441974839,112491.37,118706.26528613694,112643.1,118485.74874655154,112531.4,118430.68295554034,112921.07,118859.57755909972,112879.33,119161.39740423892,112904.55,118633.228027836,113043.97,119212.30770583588,113492.94,119129.47720663079,113333.17
118813.7430411176,114302.69,118626.88604747498,113381.42,118306.15441974839,112753.28,118706.26528613694,112352.62,118485.74874655154,112432.74,118430.68295554034,112344.86,118859.57755909972,112762.36,119161.39740423892,112717.09,118633.228027836,112759.875,119212.30770583588,112910.836,119129.47720663079,113368.664,119020.7935780909,113230.8
118626.88604747498,114255.72,118306.15441974839,113343.945,118706.26528613694,112637.08,118485.74874655154,112313.086,118430.68295554034,112292.375,118859.57755909972,112240.95,119161.39740423892,112697.0,118633.228027836,112622.81,119212.30770583588,112695.484,119129.47720663079,112862.58,119020.7935780909,113320.484,118788.01531590869,113203.58
118306.15441974839,114182.805,118706.26528613694,113299.56,118485.74874655154,112541.29,118430.68295554034,112284.03,118859.57755909972,112185.64,119161.39740423892,112159.76,118633.228027836,112629.76,119212.30770583588,112526.67,119129.47720663079,112606.12,119020.7935780909,112796.08,118788.01531590869,113221.2,118633.71224119011,113110.61
118706.26528613694,114060.97,118485.74874655154,113214.0,118430.68295554034,112459.49,118859.57755909972,112228.836,119161.39740423892,112092.86,118633.228027836,112076.734,119212.30770583588,112501.836,119129.47720663079,112379.93,119020.7935780909,112431.766,118788.01531590869,112652.1,118633.71224119011,113005.984,118328.21441084414,112880.85
118485.74874655154,114087.15,118430.68295554034,113266.9,118859.57755909972,112468.87,119161.39740423892,112291.08,118633.228027836,112089.32,119212.30770583588,112088.57,119129.47720663079,112524.36,119020.7935780909,112365.27,118788.01531590869,112428.8,118633.71224119011,112665.22,118328.21441084414,112985.305,118374.12669269227,112884.97
118430.68295554034,114069.72,118859.57755909972,113282.664,119161.39740423892,112475.68,118633.228027836,112324.98,119212.30770583588,112095.76,119129.47720663079,112101.516,119020.7935780909,112524.99,118788.01531590869,112345.805,118633.71224119011,112410.266,118328.21441084414,112652.46,118374.12669269227,112943.555,117716.03014421639,112841.34
118859.57755909972,114041.92,119161.39740423892,113272.95,118633.228027836,112483.14,119212.30770583588,112325.18,119129.47720663079,112103.53,119020.7935780909,112119.45,118788.01531590869,112508.76,118633.71224119011,112330.63,118328.21441084414,112382.87,118374.12669269227,112627.77,117716.03014421639,112901.75,117363.91752911333,112791.586
119161.39740423892,114090.875,118633.228027836,113274.44,119212.30770583588,112473.34,119129.47720663079,112271.945,119020.7935780909,112093.23,118788.01531590869,112118.07,118633.71224119011,112557.836,118328.21441084414,112406.055,118374.12669269227,112479.33,117716.03014421639,112713.78,117363.91752911333,113029.31,116416.86890278987,112936.305
118633.228027836,114147.234,119212.30770583588,113353.24,119129.47720663079,112512.34,119020.7935780909,112342.66,118788.01531590869,112109.47,118633.71224119011,112141.625,118328.21441084414,112571.03,118374.12669269227,112383.89,117716.03014421639,112469.04,117363.91752911333,112712.805,116416.86890278987,113001.08,115457.88305918466,112913.65
119212.30770583588,114156.695,119129.47720663079,113394.68,119020.7935780909,112554.77,118788.01531590869,112407.39,118633.71224119011,112157.52,118328.21441084414,112186.805,118374.12669269227,112590.35,117716.03014421639,112383.875,117363.91752911333,112468.94,116416.86890278987,112712.43,115457.88305918466,112975.945,115944.69806869619,112877.72
119129.47720663079,114149.0,119020.7935780909,113414.51,118788.01531590869,112578.04,118633.71224119011,112417.86,118328.21441084414,112167.96,118374.12669269227,112214.61,117716.03014421639,112561.12,117363.91752911333,112351.836,116416.86890278987,112432.83,115457.88305918466,112668.195,115944.69806869619,112922.664,115525.7005924695,112823.55
119020.7935780909,114190.1,118788.01531590869,113486.164,118633.71224119011,112681.96,118328.21441084414,112508.22,118374.12669269227,112266.78,117716.03014421639,112316.81,117363.91752911333,112579.45,116416.86890278987,112363.164,115457.88305918466,112438.79,115944.69806869619,112651.81,115525.7005924695,112888.34,115312.95907944742,112781.32
118788.01531590869,114210.22,118633.71224119011,113521.2,118328.21441084414,112747.8,118374.12669269227,112562.19,117716.03014421639,112329.414,117363.91752911333,112383.36,116416.86890278987,112596.2,115457.88305918466,112383.07,115944.69806869619,112453.83,115525.7005924695,112656.04,115312.95907944742,112878.24,115183.79069979969,112771.12
118633.71224119011,114189.48,118328.21441084414,113509.914,118374.12669269227,112788.63,117716.03014421639,112583.46,117363.91752911333,112363.67,116416.86890278987,112416.74,115457.88305918466,112569.19,115944.69806869619,112365.09,115525.7005924695,112421.67,115312.95907944742,112619.414,115183.79069979969,112813.734,115198.34129708189,112698.79
